X-axis,Y-axis,p_f,R2_f,N_f,lower bound 95% CI female,upper bound 95% CI female,Standard error female,RMSE_female,p_m,R2_m,N_m,lower bound 95% CI male,upper bound 95% CI male,Standard error male,RMSE_male
Apparent Modulus Demineralized / MPa,Ultimate Apparent Stress / MPa,4.0e-08,0.56,39,0.07,0.129,3.5,[3.36090691],4.5e-07,0.59,31,0.059,0.114,2.8,[2.73467888]
Modulus Demineralized / MPa,Ultimate Apparent Stress / MPa,1.4e-05,0.4,39,0.045,0.107,4.0,[3.92325527],8.6e-06,0.5,31,0.044,0.097,3.1,[3.01858756]
Density / g/cm³,Ultimate Apparent Stress / MPa,0.874,6.9e-04,39,-39.2,46.0,5.2,[5.07679516],0.406,0.02,31,-22.0,53.0,4.4,[4.2198487]
Mineral weight fraction / -,Ultimate Apparent Stress / MPa,0.321,0.03,39,-264,88.6,5.1,[5.01045079],0.802,2.2e-03,31,-91.4,117,4.4,[4.26663162]
Organic weight fraction / -,Ultimate Apparent Stress / MPa,0.384,0.02,39,-111,283,5.2,[5.02619713],0.731,4.1e-03,31,-224,159,4.4,[4.26251439]
Water weight fraction / -,Ultimate Apparent Stress / MPa,0.866,7.8e-04,39,-131,155,5.2,[5.07656226],0.958,9.8e-05,31,-88.0,83.6,4.4,[4.27115241]
Bone Volume Fraction / -,Ultimate Apparent Stress / MPa,0.072,0.08,39,-2.8,61.1,5.0,[4.8590189],0.914,4.1e-04,31,-48.4,53.8,4.4,[4.27048811]
Bone Mineral Density / mg HA / cm³,Ultimate Apparent Stress / MPa,0.47,0.01,39,-0.019,0.04,5.2,[5.04234609],0.828,1.7e-03,31,-0.041,0.033,4.4,[4.26781703]
Tissue Mineral Density / mg HA / cm³,Ultimate Apparent Stress / MPa,5.8e-04,0.28,39,-0.267,-0.08,4.4,[4.31927877],0.48,0.02,31,-0.101,0.049,4.4,[4.23410536]
Mineral to Matrix Ratio v2/a3 / -,Ultimate Apparent Stress / MPa,0.289,0.03,39,-54.9,16.8,5.1,[5.00087694],0.229,0.05,31,-13.3,53.3,4.3,[4.16409363]
Mineral to Matrix Ratio v1/a1 / -,Ultimate Apparent Stress / MPa,0.022,0.13,39,-31.2,-2.6,4.9,[4.72568841],0.449,0.02,31,-24.8,11.3,4.4,[4.22860489]
Crystallinity / -,Ultimate Apparent Stress / MPa,0.262,0.03,39,-5916,1660,5.1,[4.99189977],0.8,2.3e-03,31,-3539,4552,4.4,[4.26653162]
Collagen dis/order / -,Ultimate Apparent Stress / MPa,0.39,0.02,39,-43.9,17.5,5.2,[5.02743751],0.243,0.05,31,-61.3,16.1,4.3,[4.1703908]
Matrix maturity / -,Ultimate Apparent Stress / MPa,0.881,6.2e-04,39,-27.1,23.3,5.2,[5.07697937],0.857,1.1e-03,31,-27.3,32.6,4.4,[4.26892189]
Relative Pyridinoline Content / -,Ultimate Apparent Stress / MPa,0.845,1.0e-03,39,-5037,4144,5.2,[5.07587649],0.831,1.6e-03,31,-6625,5365,4.4,[4.26796122]
Relative Proteoglycan Content / -,Ultimate Apparent Stress / MPa,0.321,0.03,38,-448,151,5.1,[5.01107183],0.075,0.11,30,-32.4,646,4.0,[3.87548733]
Relative Lipid Content / -,Ultimate Apparent Stress / MPa,0.755,2.7e-03,39,-34.3,25.1,5.2,[5.07178618],0.657,6.9e-03,31,-27.3,42.7,4.4,[4.25658009]
Ultimate Stress / MPa,Ultimate Collagen Stress / MPa,6.1e-34,0.98,39,0.939,1.0,0.709,[0.69101925],4.5e-34,0.99,31,1.0,1.1,0.367,[0.35498577]
Ultimate Strain / -,Ultimate Collagen Stress / MPa,2.6e-06,0.45,39,180,388,3.9,[3.82095998],7.1e-05,0.43,31,162,419,3.7,[3.55744465]
Apparent Modulus Demineralized / MPa,Ultimate Collagen Stress / MPa,6.1e-09,0.6,39,0.077,0.133,3.3,[3.2547884],4.0e-08,0.65,31,0.072,0.127,2.9,[2.76640577]
Modulus Demineralized / MPa,Ultimate Collagen Stress / MPa,1.6e-07,0.53,39,0.061,0.117,3.6,[3.5467245],1.9e-07,0.61,31,0.06,0.111,3.0,[2.91449966]
Density / g/cm³,Ultimate Collagen Stress / MPa,0.413,0.02,39,-60.5,25.4,5.3,[5.12096047],0.614,8.9e-03,31,-31.2,51.9,4.8,[4.6706515]
Mineral weight fraction / -,Ultimate Collagen Stress / MPa,0.08,0.08,39,-329,19.3,5.1,[4.95526461],0.955,1.1e-04,31,-112,118,4.9,[4.69122247]
Organic weight fraction / -,Ultimate Collagen Stress / MPa,0.403,0.02,39,-117,285,5.3,[5.11889952],0.495,0.02,31,-280,138,4.8,[4.65327858]
Water weight fraction / -,Ultimate Collagen Stress / MPa,0.435,0.02,39,-88.0,200,5.3,[5.12529332],0.796,2.3e-03,31,-82.2,106,4.8,[4.6860075]
Bone Volume Fraction / -,Ultimate Collagen Stress / MPa,0.69,4.3e-03,39,-27.2,40.6,5.3,[5.15693039],0.345,0.03,31,-81.2,29.3,4.8,[4.61879692]
Bone Mineral Density / mg HA / cm³,Ultimate Collagen Stress / MPa,0.505,0.01,39,-0.04,0.02,5.3,[5.13677142],0.251,0.05,31,-0.062,0.017,4.7,[4.58439364]
Tissue Mineral Density / mg HA / cm³,Ultimate Collagen Stress / MPa,2.0e-05,0.39,39,-0.298,-0.123,4.1,[4.02954813],0.338,0.03,31,-0.12,0.043,4.8,[4.61644543]
Mineral to Matrix Ratio v2/a3 / -,Ultimate Collagen Stress / MPa,0.094,0.07,39,-65.9,5.4,5.1,[4.97325846],0.154,0.07,31,-10.3,62.1,4.7,[4.52718848]
Mineral to Matrix Ratio v1/a1 / -,Ultimate Collagen Stress / MPa,0.013,0.15,39,-32.8,-4.0,4.9,[4.75339816],0.487,0.02,31,-26.6,13.0,4.8,[4.65187081]
Crystallinity / -,Ultimate Collagen Stress / MPa,0.27,0.03,39,-5988,1727,5.2,[5.08288356],0.73,4.2e-03,31,-3681,5197,4.8,[4.68165886]
Collagen dis/order / -,Ultimate Collagen Stress / MPa,0.445,0.02,39,-43.3,19.4,5.3,[5.12702977],0.162,0.07,31,-71.6,12.6,4.7,[4.53354507]
Matrix maturity / -,Ultimate Collagen Stress / MPa,0.861,8.4e-04,39,-27.9,23.4,5.3,[5.16600647],0.865,1.0e-03,31,-30.1,35.6,4.8,[4.68910622]
Relative Pyridinoline Content / -,Ultimate Collagen Stress / MPa,0.768,2.4e-03,39,-5353,3983,5.3,[5.16200552],0.66,6.7e-03,31,-7993,5142,4.8,[4.67563253]
Relative Proteoglycan Content / -,Ultimate Collagen Stress / MPa,0.39,0.02,38,-439,176,5.3,[5.13884383],0.07,0.11,30,-29.6,722,4.4,[4.29472214]
Relative Lipid Content / -,Ultimate Collagen Stress / MPa,0.706,3.9e-03,39,-35.9,24.5,5.3,[5.15811339],0.648,7.3e-03,31,-29.8,47.1,4.8,[4.67438585]
Ultimate Stress / MPa,Ultimate Strain / -,5.6e-07,0.5,39,0.001,0.002,0.009,[0.00869407],2.9e-05,0.46,31,9.30e-04,0.002,0.008,[0.00774094]
Ultimate Stress / MPa,Apparent Modulus Demineralized / MPa,7.6e-09,0.6,39,4.1,7.2,24.9,[24.21312028],8.0e-08,0.64,31,4.8,8.7,23.7,[22.94976464]
Ultimate Stress / MPa,Modulus Demineralized / MPa,7.0e-07,0.49,39,3.8,7.6,31.1,[30.26583762],6.9e-07,0.58,31,4.9,9.6,28.9,[27.94791216]
Ultimate Stress / MPa,Density / g/cm³,0.611,7.1e-03,39,-0.003,0.002,0.041,[0.03955405],0.546,0.01,31,-0.003,0.005,0.044,[0.04243301]
Ultimate Stress / MPa,Mineral weight fraction / -,0.129,0.06,39,-0.001,1.37e-04,0.009,[0.00918443],0.918,3.8e-04,31,-0.001,0.001,0.016,[0.01553027]
Ultimate Stress / MPa,Organic weight fraction / -,0.364,0.02,39,-2.93e-04,7.80e-04,0.009,[0.0083986],0.563,0.01,31,-9.14e-04,5.07e-04,0.009,[0.00840853]
Ultimate Stress / MPa,Water weight fraction / -,0.582,8.3e-03,39,-5.48e-04,9.61e-04,0.012,[0.01179589],0.862,1.1e-03,31,-0.001,0.002,0.02,[0.01889299]
Ultimate Stress / MPa,Bone Volume Fraction / -,0.35,0.02,39,-0.002,0.005,0.051,[0.05008366],0.556,0.01,31,-0.003,0.002,0.033,[0.03155598]
Ultimate Stress / MPa,Bone Mineral Density / mg HA / cm³,0.913,3.3e-04,39,-3.8,3.5,58.6,[57.10913126],0.402,0.02,31,-5.2,2.2,45.1,[43.61993343]
Ultimate Stress / MPa,Tissue Mineral Density / mg HA / cm³,8.6e-05,0.34,39,-2.5,-0.936,12.8,[12.44317696],0.368,0.03,31,-2.6,0.99,21.9,[21.19869533]
Ultimate Stress / MPa,Mineral to Matrix Ratio v2/a3 / -,0.136,0.06,39,-0.005,7.16e-04,0.046,[0.04509314],0.184,0.06,31,-0.001,0.006,0.048,[0.04605588]
Ultimate Stress / MPa,Mineral to Matrix Ratio v1/a1 / -,0.013,0.16,39,-0.015,-0.002,0.104,[0.10114189],0.454,0.02,31,-0.01,0.005,0.091,[0.0882812]
Ultimate Stress / MPa,Crystallinity / -,0.271,0.03,39,-4.28e-05,1.24e-05,4.4e-04,[0.00043171],0.761,3.2e-03,31,-2.87e-05,3.89e-05,4.1e-04,[0.00039989]
Ultimate Stress / MPa,Collagen dis/order / -,0.438,0.02,39,-0.005,0.002,0.055,[0.05402991],0.179,0.06,31,-0.006,0.001,0.041,[0.03963652]
Ultimate Stress / MPa,Matrix maturity / -,0.863,8.1e-04,39,-0.005,0.004,0.069,[0.06703054],0.828,1.7e-03,31,-0.004,0.005,0.056,[0.05411137]
Ultimate Stress / MPa,Relative Pyridinoline Content / -,0.811,1.6e-03,39,-2.63e-05,2.07e-05,3.8e-04,[0.00036806],0.749,3.6e-03,31,-2.64e-05,1.92e-05,2.8e-04,[0.0002699]
Ultimate Stress / MPa,Relative Proteoglycan Content / -,0.358,0.02,38,-5.27e-04,1.95e-04,0.006,[0.0055844],0.067,0.11,30,-2.63e-05,7.15e-04,0.004,[0.00416287]
Ultimate Stress / MPa,Relative Lipid Content / -,0.739,3.0e-03,39,-0.004,0.003,0.058,[0.05680935],0.639,7.7e-03,31,-0.003,0.005,0.048,[0.04599436]
Ultimate Strain / -,Apparent Modulus Demineralized / MPa,0.347,0.02,39,-544,1510,38.8,[37.77082624],0.23,0.05,31,-536,2141,38.3,[37.06219625]
Ultimate Strain / -,Modulus Demineralized / MPa,0.712,3.7e-03,39,-939,1362,43.4,[42.30382281],0.416,0.02,31,-916,2156,44.0,[42.54261381]
Ultimate Strain / -,Density / g/cm³,0.357,0.02,39,-0.576,1.6,0.04,[0.0392362],0.332,0.03,31,-0.786,2.2,0.043,[0.04200732]
Ultimate Strain / -,Mineral weight fraction / -,0.923,2.6e-04,39,-0.245,0.27,0.01,[0.00947793],0.576,0.01,31,-0.404,0.712,0.016,[0.01544822]
Ultimate Strain / -,Organic weight fraction / -,0.512,0.01,39,-0.155,0.305,0.009,[0.00844406],0.756,3.4e-03,31,-0.258,0.352,0.009,[0.00844387]
Ultimate Strain / -,Water weight fraction / -,0.584,8.2e-03,39,-0.408,0.233,0.012,[0.01179638],0.549,0.01,31,-0.879,0.477,0.019,[0.01878442]
Ultimate Strain / -,Bone Volume Fraction / -,0.073,0.08,39,-0.117,2.5,0.05,[0.0485019],0.168,0.06,31,-0.342,1.9,0.032,[0.03070599]
Ultimate Strain / -,Bone Mineral Density / mg HA / cm³,0.315,0.03,39,-762,2302,57.8,[56.33444368],0.176,0.06,31,-497,2592,44.2,[42.76472163]
Ultimate Strain / -,Tissue Mineral Density / mg HA / cm³,0.041,0.11,39,-807,-17.9,14.9,[14.51502045],0.759,3.3e-03,31,-658,893,22.2,[21.46690392]
Ultimate Strain / -,Mineral to Matrix Ratio v2/a3 / -,0.519,0.01,39,-1.7,0.853,0.047,[0.04622051],0.808,2.1e-03,31,-1.5,1.9,0.049,[0.04745308]
Ultimate Strain / -,Mineral to Matrix Ratio v1/a1 / -,0.019,0.14,39,-6.1,-0.582,0.105,[0.10209341],0.247,0.05,31,-5.0,1.3,0.09,[0.08708419]
Ultimate Strain / -,Crystallinity / -,0.892,5.1e-04,39,-0.013,0.011,4.5e-04,[0.00043883],0.873,8.9e-04,31,-0.016,0.013,4.1e-04,[0.00040036]
Ultimate Strain / -,Collagen dis/order / -,0.971,3.5e-05,39,-1.5,1.5,0.056,[0.05447667],0.261,0.04,31,-2.3,0.635,0.041,[0.04001549]
Ultimate Strain / -,Matrix maturity / -,0.822,1.4e-03,39,-1.6,2.0,0.069,[0.06701114],0.785,2.6e-03,31,-2.2,1.7,0.056,[0.05408567]
Ultimate Strain / -,Relative Pyridinoline Content / -,0.349,0.02,39,-0.005,0.015,3.7e-04,[0.00036396],0.691,5.5e-03,31,-0.012,0.008,2.8e-04,[0.00026963]
Ultimate Strain / -,Relative Proteoglycan Content / -,0.273,0.03,38,-0.238,0.069,0.006,[0.0055563],0.614,9.2e-03,30,-0.126,0.209,0.005,[0.0044036]
Ultimate Strain / -,Relative Lipid Content / -,0.617,6.8e-03,39,-1.9,1.2,0.058,[0.05670154],0.999,7.2e-08,31,-1.7,1.7,0.048,[0.04617219]
Apparent Modulus Demineralized / MPa,Modulus Demineralized / MPa,6.5e-21,0.91,39,0.946,1.2,13.1,[12.73498113],2.4e-22,0.96,31,1.0,1.2,8.5,[8.262106]
Apparent Modulus Demineralized / MPa,Density / g/cm³,0.259,0.03,39,-5.32e-04,1.48e-04,0.04,[0.03900926],0.833,1.6e-03,31,-4.71e-04,3.82e-04,0.044,[0.04267232]
Apparent Modulus Demineralized / MPa,Mineral weight fraction / -,0.091,0.08,39,-1.48e-04,1.13e-05,0.009,[0.00911466],0.535,0.01,31,-2.01e-04,1.07e-04,0.016,[0.01542892]
